key,status,model,topic,grade,subject,target_bloom,target_dok,output_raw,question,answer,reasoning,parse_ok,tfidf_centroid_sim_to_retrieved,tfidf_top5_mean_sim_to_retrieved,tfidf_top5_neighbors
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Remember,DOK1,"['', ""{'question': 'What is the definition of a fraction?', 'answer': 'A fraction represents a part of a whole.', 'reasoning': 'A fraction is a way to show a part of a whole or a group.'}""]",What is the definition of a fraction?,A fraction represents a part of a whole.,A fraction is a way to show a part of a whole or a group.,True,0.018251531355876264,0.03295477352210892,"Erica is getting dessert at a pie buffet where all the pies are the same size. She takes 1/5 of an apple pie and 3/4 of a cherry pie. What fraction of a whole pie did Erica take, expressed as a percentage? ;; For positive integers $a$ and $b$, define $f(a, b)=\frac{a}{b}+\frac{b}{a}+\frac{1}{a b}$.

For example, the value of $f(1,2)$ is 3 .
Determine the value of $f(2,5)$. ;; Neil baked 20 cookies. He gave 2/5 of the cookies to his friend. How many cookies are left for Neil? ;; Mabel has 5 daisies in her garden, and each daisy has 8 petals.  If she gives 2 daisies to her teacher, how many petals does she have on the remaining daisies in her garden? ;; Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Remember,DOK2,"['', ""{'question': 'What is the sum of 3.5 and 2.8? Recall the basic fact.', 'answer': '6.3', 'reasoning': 'Recall the sum of 3.5 and 2.8.'}""]",What is the sum of 3.5 and 2.8? Recall the basic fact.,6.3,Recall the sum of 3.5 and 2.8.,True,0.0,0.0,"Six Grade 4 sections launched a recycling drive where they collect old newspapers to recycle. Each section collected 280 kilos in two weeks. After the third week, they found that they need 320 kilos more to reach their target. How many kilos of the newspaper is their target? ;; A department store displays a 20% discount on all fixtures. What will be the new price of a 25 cm high bedside lamp that was worth $120? ;; A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A desert has 3/5 fewer palm trees than a nearby forest, which has 5000 palm trees. How many palm trees are there in both the desert and the forest combined? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Remember,DOK3,"['', ""{'question': 'What is the procedure for dividing a fraction by a whole number?', 'answer': 'To divide a fraction by a whole number, we multiply the fraction by the reciprocal of the whole number. For example, to divide 3/4 by 6, we calculate 3/4 * 1/6.', 'reasoning': 'The question requires the student to recall the procedure for dividing fractions by whole numbers, which is a key concept in fraction operations.'}""]",What is the procedure for dividing a fraction by a whole number?,"To divide a fraction by a whole number, we multiply the fraction by the reciprocal of the whole number. For example, to divide 3/4 by 6, we calculate 3/4 * 1/6.","The question requires the student to recall the procedure for dividing fractions by whole numbers, which is a key concept in fraction operations.",True,0.09659639660766611,0.10207881451364025,"Erica is getting dessert at a pie buffet where all the pies are the same size. She takes 1/5 of an apple pie and 3/4 of a cherry pie. What fraction of a whole pie did Erica take, expressed as a percentage? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Two boxes for carrying oranges with a capacity of 80 and 50 were filled with 3/4 and 3/5 of the way full with oranges, respectively. Calculate the total number of oranges the boxes have together."
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Remember,DOK4,"['', ""{'question': 'Describe a real-life scenario where you need to recall and apply the concept of decimal subtraction to calculate change, and explain the steps involved.', 'answer': 'A real-life scenario is when you buy an item costing $15.25 and pay with a $20 bill. To calculate the change, you subtract the cost from the amount paid: $20 - $15.25 = $4.75. The steps involve identifying the amount paid and the cost, then performing the subtraction.', 'reasoning': 'The question requires the student to recall a real-life scenario and the steps involved in calculating change using decimal subtraction.'}""]","Describe a real-life scenario where you need to recall and apply the concept of decimal subtraction to calculate change, and explain the steps involved.","A real-life scenario is when you buy an item costing $15.25 and pay with a $20 bill. To calculate the change, you subtract the cost from the amount paid: $20 - $15.25 = $4.75. The steps involve identifying the amount paid and the cost, then performing the subtraction.",The question requires the student to recall a real-life scenario and the steps involved in calculating change using decimal subtraction.,True,0.05981074186716777,0.09820910357709828,"Raine's house is just a walking distance from her school. It takes her 150 steps to walk to the school. How many steps does she take walking to and from school in five days? ;; Kendall is counting her change. She has a total of $4 in quarters, dimes, and nickels. If she has 10 quarters and 12 dimes, how many nickels does she have? ;; Gloria has five times as many dimes as quarters in her graduation money. She decides to put 2/5 of the quarters aside for future use. If she has 350 dimes, calculate the combined number of quarters and dimes she has after putting aside 2/5 of the quarters? ;; 5 squirrels collected 575 acorns. If each squirrel needs 130 acorns to get through the winter, how many more acorns does each squirrel need to collect? ;; Six Grade 4 sections launched a recycling drive where they collect old newspapers to recycle. Each section collected 280 kilos in two weeks. After the third week, they found that they need 320 kilos more to reach their target. How many kilos of the newspaper is their target?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Understand,DOK1,"['', '{\'question\': \'What does 1/2 mean in terms of parts of a whole?\', \'answer\': \'One part out of two equal parts of a whole.\', \'reasoning\': ""This question requires understanding the basic concept of 1/2, which is a fundamental fraction. It is at \'Understand\' level as it involves comprehension of what 1/2 represents in terms of parts of a whole.""}']",What does 1/2 mean in terms of parts of a whole?,One part out of two equal parts of a whole.,"This question requires understanding the basic concept of 1/2, which is a fundamental fraction. It is at 'Understand' level as it involves comprehension of what 1/2 represents in terms of parts of a whole.",True,0.06926726948543628,0.09884032788603223,"A cake of 400 grams is divided into eight equal parts. Nathalie eats one-eighth of the cake, and Pierre eats double what Nathalie ate. How much did Pierre eat, in grams? ;; 'Let k = 88 - 81. Does 5 divide (38/10)/((-3)/(-105)*k)?\n' ;; Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost? ;; Mabel has 5 daisies in her garden, and each daisy has 8 petals.  If she gives 2 daisies to her teacher, how many petals does she have on the remaining daisies in her garden? ;; Frank has three less than half the number of cookies as Mike. Mike has three times as many cookies as Millie. If Millie has 4 cookies, how many cookies does Frank have?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Understand,DOK2,"['{\n  ""question"": ""What is the meaning of subtracting one decimal number from another? Use an example to illustrate your explanation."",\n  ""answer"": ""Subtracting one decimal number from another means finding the difference between the two numbers. For example, subtracting 0.8 from 2.5 gives 1.7, which represents the difference between the two numbers."",\n  ""reasoning"": ""This question requires understanding the concept of decimal subtraction and explaining it with an example, which aligns with the \'Understand\' level of Bloom\'s taxonomy and \'DOK2\' as it involves explaining a concept.""\n}', '{""question"": ""What is the meaning of subtracting one decimal number from another? Use an example to illustrate your explanation."", ""answer"": ""Subtracting one decimal number from another means finding the difference between the two numbers. For example, subtracting 0.8 from 2.5 gives 1.7, which represents the difference between the two numbers."", ""reasoning"": ""This question requires understanding the concept of decimal subtraction and explaining it with an example, which aligns with the \'Understand\' level of Bloom\'s taxonomy and \'DOK2\' as it involves explaining a concept.""}']",What is the meaning of subtracting one decimal number from another? Use an example to illustrate your explanation.,"Subtracting one decimal number from another means finding the difference between the two numbers. For example, subtracting 0.8 from 2.5 gives 1.7, which represents the difference between the two numbers.","This question requires understanding the concept of decimal subtraction and explaining it with an example, which aligns with the 'Understand' level of Bloom's taxonomy and 'DOK2' as it involves explaining a concept.",True,0.11019766429949067,0.14192947630057529,"Gloria has five times as many dimes as quarters in her graduation money. She decides to put 2/5 of the quarters aside for future use. If she has 350 dimes, calculate the combined number of quarters and dimes she has after putting aside 2/5 of the quarters? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; Marissa has 4.5 feet of ribbon that she wants to use to tie some boxes. If 1 foot of ribbon is left after Marissa uses 0.7 feet of ribbon to tie each box, find out how many boxes she tied? ;; There are 20 boys and 11 girls in the second grade and twice that number in the third grade. How many students are in grades 2 and 3?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Understand,DOK3,"['', '{\'question\': \'Explain the process of determining the amount of gas in a 12-gallon tank when it is 3/4 full, and then explain how to find out how many more gallons are needed to fill the tank completely.\', \'answer\': ""To determine the amount of gas in the tank, we need to understand that 3/4 represents three quarters of the tank\'s capacity. Multiplying 3/4 by the total capacity (12 gallons) gives us the amount of gas in the tank. So, (3/4) * 12 = 9 gallons. To find out how many more gallons are needed to fill the tank, we subtract the amount of gas present from the total capacity: 12 - 9 = 3 gallons. This process involves understanding fractions and applying them to real-world scenarios."", \'reasoning\': \'This question requires the student to understand and explain the process of using fractions to determine quantities and then apply that understanding to solve a problem. It demands a deeper understanding of the concept of fractions and their application.\'}']","Explain the process of determining the amount of gas in a 12-gallon tank when it is 3/4 full, and then explain how to find out how many more gallons are needed to fill the tank completely.","To determine the amount of gas in the tank, we need to understand that 3/4 represents three quarters of the tank's capacity. Multiplying 3/4 by the total capacity (12 gallons) gives us the amount of gas in the tank. So, (3/4) * 12 = 9 gallons. To find out how many more gallons are needed to fill the tank, we subtract the amount of gas present from the total capacity: 12 - 9 = 3 gallons. This process involves understanding fractions and applying them to real-world scenarios.",This question requires the student to understand and explain the process of using fractions to determine quantities and then apply that understanding to solve a problem. It demands a deeper understanding of the concept of fractions and their application.,True,0.0,0.0,"For positive integers $a$ and $b$, define $f(a, b)=\frac{a}{b}+\frac{b}{a}+\frac{1}{a b}$.

For example, the value of $f(1,2)$ is 3 .
Determine the value of $f(2,5)$. ;; A chef needs to make french fries.  He can get 25 fries out of 1 potato.  He has 15 potatoes and he needs 200 fries.  How many potatoes will he have leftover? ;; Neil baked 20 cookies. He gave 2/5 of the cookies to his friend. How many cookies are left for Neil? ;; Mabel has 5 daisies in her garden, and each daisy has 8 petals.  If she gives 2 daisies to her teacher, how many petals does she have on the remaining daisies in her garden? ;; Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Understand,DOK4,"['', ""{'question': 'A student scored 0.45 in one test and 0.5 in another test. If the tests have equal weight, what is the average score of the two tests?', 'answer': 'To find the average score, we add the two scores and divide by 2. So, (0.45 + 0.5) / 2 = 0.95 / 2 = 0.475.', 'reasoning': 'The reasoning involves adding the two scores together and then dividing by the number of tests, which is 2. This is a straightforward calculation to find the average.'}""]","A student scored 0.45 in one test and 0.5 in another test. If the tests have equal weight, what is the average score of the two tests?","To find the average score, we add the two scores and divide by 2. So, (0.45 + 0.5) / 2 = 0.95 / 2 = 0.475.","The reasoning involves adding the two scores together and then dividing by the number of tests, which is 2. This is a straightforward calculation to find the average.",True,0.0479356595499455,0.08697011900079228,"The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get? ;; The school is having a book-a-thon. The winning class gets a pizza party. The fifth grade has 20 students and one week to read as much as possible. The 6th grade already finished and read a total of 299 hours. How many hours does each student in 5th grade need to average per day to beat them by 1? ;; Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost? ;; A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Apply||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Apply,DOK1,"['', ""{'question': 'Tom has 1/4 of a pizza that is divided into 8 slices. How many slices does Tom have?', 'answer': 'Tom has 2 slices.', 'reasoning': 'To find out how many slices Tom has, we need to calculate 1/4 of 8. This is done by multiplying 1/4 by 8, which equals 2.'}""]",Tom has 1/4 of a pizza that is divided into 8 slices. How many slices does Tom have?,Tom has 2 slices.,"To find out how many slices Tom has, we need to calculate 1/4 of 8. This is done by multiplying 1/4 by 8, which equals 2.",True,0.1408434936892106,0.20569307897532707,"Mrs. Kaplan has 1/4 as many pizza slices as Bobby has. If Bobby has 2 pizzas and each pizza has 6 slices, how many slices does Mrs. Kaplan have? ;; A whole pizza was cut into 8 slices. Angeli and Marlon ate 3/2 slices each. How many slices of pizza are left? ;; Tom got 40 oranges and 70 apples. If he sold 1/4 of the oranges and 1/2 of the apples. How many fruits were left in total? ;; In a house of 15, 3/5 of the people eat pizza. If Aviana brought pizza with 50 pieces, and each person eating pizza took 4 pieces, calculate the number of pizza pieces that remained. ;; A circle with a radius of 5 was divided into 24 congruent sectors. The sectors were then rearranged, as shown in the diagram below. <image 1> To the nearest integer, the value of x is?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Apply||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Apply,DOK2,"['{\n  ""question"": ""Round 4.73 to the nearest tenth."",\n  ""answer"": ""4.7"",\n  ""reasoning"": ""To round 4.73 to the nearest tenth, we look at the hundredths place, which is 3. Since 3 is less than 5, we round down, resulting in 4.7.""\n}', '{""question"": ""Round 4.73 to the nearest tenth."", ""answer"": ""4.7"", ""reasoning"": ""To round 4.73 to the nearest tenth, we look at the hundredths place, which is 3. Since 3 is less than 5, we round down, resulting in 4.7.""}']",Round 4.73 to the nearest tenth.,4.7,"To round 4.73 to the nearest tenth, we look at the hundredths place, which is 3. Since 3 is less than 5, we round down, resulting in 4.7.",True,0.021169566197038865,0.03840814351231168,"A circle with a radius of 5 was divided into 24 congruent sectors. The sectors were then rearranged, as shown in the diagram below. <image 1> To the nearest integer, the value of x is? ;; Six Grade 4 sections launched a recycling drive where they collect old newspapers to recycle. Each section collected 280 kilos in two weeks. After the third week, they found that they need 320 kilos more to reach their target. How many kilos of the newspaper is their target? ;; A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A desert has 3/5 fewer palm trees than a nearby forest, which has 5000 palm trees. How many palm trees are there in both the desert and the forest combined? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom?"
