key,status,model,topic,grade,subject,target_bloom,target_dok,output_raw,question,answer,reasoning,parse_ok,tfidf_centroid_sim_to_retrieved,tfidf_top5_mean_sim_to_retrieved,tfidf_top5_neighbors
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Remember,DOK1,"['', ""{'question': 'Find 2/5 * 500.', 'answer': '200', 'reasoning': 'To find 2/5 of 500, multiply 2/5 by 500. This simplifies to (2 * 500) / 5 = 1000 / 5 = 200.'}""]",Find 2/5 * 500.,200,"To find 2/5 of 500, multiply 2/5 by 500. This simplifies to (2 * 500) / 5 = 1000 / 5 = 200.",True,0.0,0.0,"For positive integers $a$ and $b$, define $f(a, b)=\frac{a}{b}+\frac{b}{a}+\frac{1}{a b}$.

For example, the value of $f(1,2)$ is 3 .
Determine the value of $f(2,5)$. ;; A chef needs to make french fries.  He can get 25 fries out of 1 potato.  He has 15 potatoes and he needs 200 fries.  How many potatoes will he have leftover? ;; Neil baked 20 cookies. He gave 2/5 of the cookies to his friend. How many cookies are left for Neil? ;; Mabel has 5 daisies in her garden, and each daisy has 8 petals.  If she gives 2 daisies to her teacher, how many petals does she have on the remaining daisies in her garden? ;; Three friends agreed to pay an equal amount of money for buying 5 bags of chips. If they each pay $5, how much does each bag of chips cost?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Remember,DOK2,"['{\n  ""question"": ""Compare the sum of 3.5 and 2.8 with 6. How do they relate?"",\n  ""answer"": ""The sum of 3.5 and 2.8 is 6.3, which is greater than 6."",\n  ""reasoning"": ""First, add 3.5 and 2.8 to get 6.3. Then, compare 6.3 with 6. Since 6.3 is greater than 6, the sum is more than 6.""\n}', '{""question"": ""Compare the sum of 3.5 and 2.8 with 6. How do they relate?"", ""answer"": ""The sum of 3.5 and 2.8 is 6.3, which is greater than 6."", ""reasoning"": ""First, add 3.5 and 2.8 to get 6.3. Then, compare 6.3 with 6. Since 6.3 is greater than 6, the sum is more than 6.""}']",Compare the sum of 3.5 and 2.8 with 6. How do they relate?,"The sum of 3.5 and 2.8 is 6.3, which is greater than 6.","First, add 3.5 and 2.8 to get 6.3. Then, compare 6.3 with 6. Since 6.3 is greater than 6, the sum is more than 6.",True,0.0,0.0,"Six Grade 4 sections launched a recycling drive where they collect old newspapers to recycle. Each section collected 280 kilos in two weeks. After the third week, they found that they need 320 kilos more to reach their target. How many kilos of the newspaper is their target? ;; A department store displays a 20% discount on all fixtures. What will be the new price of a 25 cm high bedside lamp that was worth $120? ;; A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A desert has 3/5 fewer palm trees than a nearby forest, which has 5000 palm trees. How many palm trees are there in both the desert and the forest combined? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Remember,DOK3,"['', ""{'question': 'Tom has 1/4 of a pizza and gets another 1/4. What fraction of the pizza does he have now?', 'answer': '1/2', 'reasoning': 'To find the total fraction of the pizza Tom has now, we need to add the fractions 1/4 and 1/4. Since the denominators are the same, we can directly add the numerators: 1/4 + 1/4 = (1+1)/4 = 2/4 = 1/2.'}""]",Tom has 1/4 of a pizza and gets another 1/4. What fraction of the pizza does he have now?,1/2,"To find the total fraction of the pizza Tom has now, we need to add the fractions 1/4 and 1/4. Since the denominators are the same, we can directly add the numerators: 1/4 + 1/4 = (1+1)/4 = 2/4 = 1/2.",True,0.11783605478696212,0.1599601021463867,"In a house of 15, 3/5 of the people eat pizza. If Aviana brought pizza with 50 pieces, and each person eating pizza took 4 pieces, calculate the number of pizza pieces that remained. ;; Mrs. Kaplan has 1/4 as many pizza slices as Bobby has. If Bobby has 2 pizzas and each pizza has 6 slices, how many slices does Mrs. Kaplan have? ;; A whole pizza was cut into 8 slices. Angeli and Marlon ate 3/2 slices each. How many slices of pizza are left? ;; The school is having a book-a-thon. The winning class gets a pizza party. The fifth grade has 20 students and one week to read as much as possible. The 6th grade already finished and read a total of 299 hours. How many hours does each student in 5th grade need to average per day to beat them by 1? ;; Tom got 40 oranges and 70 apples. If he sold 1/4 of the oranges and 1/2 of the apples. How many fruits were left in total?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Remember||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Remember,DOK4,"['', '{\'question\': \'List the given values in order from largest to smallest: -4, 2/5, -0.095, 4, 7. Then, identify the fifth biggest value.\', \'answer\': \'The fifth biggest value is -4.\', \'reasoning\': ""The question requires the student to analyze the given values, list them in order, and identify the fifth biggest value, meeting the targets for Bloom\'s taxonomy (Analyze) and DOK (DOK2).""}']","List the given values in order from largest to smallest: -4, 2/5, -0.095, 4, 7. Then, identify the fifth biggest value.",The fifth biggest value is -4.,"The question requires the student to analyze the given values, list them in order, and identify the fifth biggest value, meeting the targets for Bloom's taxonomy (Analyze) and DOK (DOK2).",True,0.17592505411776416,0.29030567952897995,"'Which is the fifth biggest value?  (a) -4  (b) 2/5  (c) -0.095  (d) 4  (e) 7\n' ;; 'What is the fifth smallest value in -9, 4, -1/5, 716, 0.17?\n' ;; 'What is the fifth smallest value in -0.06, 4, -18, 20, 1/5?\n' ;; A dime has the same value as 10 pennies and a nickel has the same value as 5 pennies. How many pennies will Grace have by exchanging her 10 dimes and 10 nickels? ;; 'How many millimeters are there in one fifth of a centimeter?\n'"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Understand,DOK1,"['', '{\'question\': ""A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What\'s the total number of books in the class?"", \'answer\': \'The total number of books in the class is 200.\', \'reasoning\': \'To find the total number of books, we first calculate 2/5 of 500, which is (2/5) * 500 = 200. So, there are 200 books on the tables.\'}']",A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,The total number of books in the class is 200.,"To find the total number of books, we first calculate 2/5 of 500, which is (2/5) * 500 = 200. So, there are 200 books on the tables.",True,0.23454621004581838,0.3103410935642163,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The fifth grade class at Rosa Parks Elementary School is holding a food drive. Half the students in Ms. Perez's class collected 12 cans each, two students didn't collect any, and the remaining 13 students students each collected 4 cans. If Ms. Perez's class has 30 students, how many cans did they collect total?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Understand,DOK2,"['', ""{'question': 'Analyze the given values: -4, 2/5, -0.095, 4, 7. Discuss which is the fifth biggest value and explain your reasoning.', 'answer': 'The fifth biggest value is -4 because the order from largest to smallest is 7, 4, 2/5, -0.095, -4.', 'reasoning': 'First, convert all values to a comparable format: -4, 0.4, -0.095, 4, 7. Then, sort them in descending order: 7, 4, 0.4, -0.095, -4. The fifth biggest value is -4.'}""]","Analyze the given values: -4, 2/5, -0.095, 4, 7. Discuss which is the fifth biggest value and explain your reasoning.","The fifth biggest value is -4 because the order from largest to smallest is 7, 4, 2/5, -0.095, -4.","First, convert all values to a comparable format: -4, 0.4, -0.095, 4, 7. Then, sort them in descending order: 7, 4, 0.4, -0.095, -4. The fifth biggest value is -4.",True,0.15144313050195865,0.2430741470147272,"'Which is the fifth biggest value?  (a) -4  (b) 2/5  (c) -0.095  (d) 4  (e) 7\n' ;; 'What is the fifth smallest value in -9, 4, -1/5, 716, 0.17?\n' ;; 'What is the fifth smallest value in -0.06, 4, -18, 20, 1/5?\n' ;; A dime has the same value as 10 pennies and a nickel has the same value as 5 pennies. How many pennies will Grace have by exchanging her 10 dimes and 10 nickels? ;; 'How many millimeters are there in one fifth of a centimeter?\n'"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK3||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Understand,DOK3,"['', '{\'question\': ""A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What\'s the total number of books in the class?"", \'answer\': \'200\', \'reasoning\': ""The question requires the student to analyze the given information and apply fraction multiplication to find the total number of books. It aligns with Bloom\'s level of Analyze and DOK level of 3.""}']",A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,200,The question requires the student to analyze the given information and apply fraction multiplication to find the total number of books. It aligns with Bloom's level of Analyze and DOK level of 3.,True,0.23454621004581838,0.3103410935642163,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The fifth grade class at Rosa Parks Elementary School is holding a food drive. Half the students in Ms. Perez's class collected 12 cans each, two students didn't collect any, and the remaining 13 students students each collected 4 cans. If Ms. Perez's class has 30 students, how many cans did they collect total?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Understand||DOK4||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Understand,DOK4,"['', ""{'question': 'Add 2.1 and 1.4.', 'answer': '3.5', 'reasoning': 'Simple addition of decimals'}""]",Add 2.1 and 1.4.,3.5,Simple addition of decimals,True,0.02457493969266836,0.04458654474716811,"If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; Six Grade 4 sections launched a recycling drive where they collect old newspapers to recycle. Each section collected 280 kilos in two weeks. After the third week, they found that they need 320 kilos more to reach their target. How many kilos of the newspaper is their target? ;; A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A desert has 3/5 fewer palm trees than a nearby forest, which has 5000 palm trees. How many palm trees are there in both the desert and the forest combined? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Apply||DOK1||fractions,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,fractions,Grade 5,maths,Apply,DOK1,"['', '{\'question\': ""A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What\'s the total number of books in the class?"", \'answer\': \'200\', \'reasoning\': \'To find the total number of books, we need to calculate 2/5 of 500, which is (2/5) * 500 = 200.\'}']",A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,200,"To find the total number of books, we need to calculate 2/5 of 500, which is (2/5) * 500 = 200.",True,0.23454621004581838,0.3103410935642163,"A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; Alannah, Beatrix, and Queen are preparing for the new school year and have been given books by their parents. Alannah has 20 more books than Beatrix. Queen has 1/5 times more books than Alannah. If Beatrix has 30 books, how many books do the three have together? ;; If you double a number and add 5 to the result, then that's 20 more than half of the original number. What's the original number? ;; The fifth grade class at Rosa Parks Elementary School is holding a food drive. Half the students in Ms. Perez's class collected 12 cans each, two students didn't collect any, and the remaining 13 students students each collected 4 cans. If Ms. Perez's class has 30 students, how many cans did they collect total?"
meta-llama/Llama-4-Scout-17B-16E-Instruct||maths||Grade 5||Apply||DOK2||decimals,ok,meta-llama/Llama-4-Scout-17B-16E-Instruct,decimals,Grade 5,maths,Apply,DOK2,"['', '{\'question\': \'A water tank can hold 2.5 liters of water. If 3.7 liters of water are added to it, how much water will be in the tank in total?\', \'answer\': \'6.2 liters\', \'reasoning\': ""The question requires the student to apply basic addition skills to find the total amount of water in the tank. It aligns with Bloom\'s \'Apply\' level as it involves solving a practical problem using a straightforward calculation. The DOK level is \'DOK2\' as it requires the student to perform a simple operation to get the answer.""}']","A water tank can hold 2.5 liters of water. If 3.7 liters of water are added to it, how much water will be in the tank in total?",6.2 liters,The question requires the student to apply basic addition skills to find the total amount of water in the tank. It aligns with Bloom's 'Apply' level as it involves solving a practical problem using a straightforward calculation. The DOK level is 'DOK2' as it requires the student to perform a simple operation to get the answer.,True,0.1071268907524986,0.16600585774115217,"A jug is filled with 5 liters of water and a bucket is filled with 4 jugs. How many liters of water are contained in 2 buckets? ;; A box has 2 dozen water bottles and half a dozen more apple bottles than water bottles. How many bottles are in the box? ;; The ratio of boys to girls in a math class is 5:8. How many girls are in the class if the total number of students in the class is 260? ;; There are 28 students in a classroom. Half of them have 5 notebooks each and the other half have 3 notebooks each. How many notebooks in total are in the classroom? ;; Kendall is counting her change. She has a total of $4 in quarters, dimes, and nickels. If she has 10 quarters and 12 dimes, how many nickels does she have?"
